X1,X2,X3,Y
2.37,51.51,18.75,2.82
2.46,51.07,18.99,2.51
2.4,51.31,18.4,2.69
2.48,51.16,18.19,2.53
2.58,51.32,17.98,2.45
2.56,52.7,17.75,2.29
2.7,52.23,18.21,2.27
2.76,52.31,18.19,2.3
2.71,53.35,18.14,2.31
2.68,52.68,18.54,2.3
2.66,53.45,18.85,2.33
2.49,54.01,19,2.32
2.73,53.37,19.2,2.51
2.87,53.01,19.39,2.29
2.83,52.99,19.42,2.44
2.93,53.15,19.46,2.38
3.11,53.4,19.85,2.34
3.05,54.46,20.04,2.31
3.18,53.81,20.56,2.35
3.22,53.89,20.71,2.35
3.1,54.28,20.89,2.36
3.22,53.95,21.46,2.38
3.18,54.54,21.32,2.37
2.93,55.53,21.19,2.23
3.09,54.38,21.37,2.46
3.16,54,21.55,2.35
3.04,53.61,21.13,2.5
3.04,53.43,21.06,2.48
3.07,53.88,21.08,2.46
2.96,54.46,21,2.47
3,53.94,21.49,2.49
3.05,53.37,21.59,2.47
2.93,53.94,21.5,2.47
2.96,54.1,21.68,2.49
2.89,54.5,21.69,2.48
2.59,55.48,21.5,2.45
2.86,55.06,21.77,2.5
2.88,55.21,21.58,2.36
2.75,54.36,20.98,2.55
2.79,54.62,20.5,2.4
2.79,55.76,20.45,2.38
2.67,56.1,20.42,2.43
2.73,55.48,20.92,2.46
2.74,54.87,21.09,2.47
